Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z01x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,2564841,1,5,C-5,3,2,7,C-7,4,3,-1,-1
2,6529080,1,5,C-5,3,2,3,C-3,7,7,-4,-5
3,2304482,1,3,C-3,7,7,3,C-3,7,7,0,0
4,324571,1,3,C-3,7,7,60,M-1/M-2,7,6,0,1
5,1836063,1,5,C-5,3,2,60,M-1/M-2,7,6,-4,-4
6,733130,1,5,C-5,3,2,33,O-1a/O-1b,8,2,-5,0
7,1431068,1,3,C-3,7,7,33,O-1a/O-1b,8,2,-1,5
8,443165,1,7,C-7,4,3,33,O-1a/O-1b,8,2,-4,1
9,224127,1,7,C-7,4,3,60,M-1/M-2,7,6,-3,-3
10,172759,1,7,C-7,4,3,5,C-5,3,2,1,1
11,2892580,1,5,C-5,3,2,5,C-5,3,2,0,0
12,158084,1,7,C-7,4,3,7,C-7,4,3,0,0
13,53518,1,675,M-1/M-2 (75 PC),8,8,60,M-1/M-2,7,6,1,2
14,459163,1,675,M-1/M-2 (75 PC),8,8,33,O-1a/O-1b,8,2,0,6
15,9280402,1,102,Water,0,0,102,Water,0,0,0,0
16,119136,1,31,O-1a,8,2,102,Water,0,0,8,2
17,3899,1,2,C-2,10,10,102,Water,0,0,10,10
18,367073,1,11,D-1,3,3,60,M-1/M-2,7,6,-4,-3
19,40325,1,650,M-1/M-2 (50 PC),7,6,60,M-1/M-2,7,6,0,0
20,548809,1,415,M-1 (15 PC),3,3,33,O-1a/O-1b,8,2,-5,1
21,497647,1,31,O-1a,8,2,33,O-1a/O-1b,8,2,0,0
22,602613,1,3,C-3,7,7,5,C-5,3,2,4,5
23,1830448,1,3,C-3,7,7,7,C-7,4,3,3,4
24,174708,1,625,M-1/M-2 (25 PC),5,3,33,O-1a/O-1b,8,2,-3,1
25,224103,1,13,D-1/D-2,3,1,33,O-1a/O-1b,8,2,-5,-1
26,338348,1,31,O-1a,8,2,101,NF,0,0,8,2
27,337686,1,11,D-1,3,3,33,O-1a/O-1b,8,2,-5,1
28,22335,1,625,M-1/M-2 (25 PC),5,3,5,C-5,3,2,2,1
29,131454,1,11,D-1,3,3,5,C-5,3,2,0,1
30,129637,1,675,M-1/M-2 (75 PC),8,8,7,C-7,4,3,4,5
31,180508,1,13,D-1/D-2,3,1,101,NF,0,0,3,1
32,40127,1,13,D-1/D-2,3,1,5,C-5,3,2,0,-1
33,23259,1,101,NF,0,0,3,C-3,7,7,-7,-7
34,244780,1,415,M-1 (15 PC),3,3,3,C-3,7,7,-4,-4
35,122329,1,3,C-3,7,7,101,NF,0,0,7,7
36,44023,1,31,O-1a,8,2,3,C-3,7,7,1,-5
37,166787,1,2,C-2,10,10,3,C-3,7,7,3,3
38,83165,1,5,C-5,3,2,102,Water,0,0,3,2
39,8441,1,650,M-1/M-2 (50 PC),7,6,33,O-1a/O-1b,8,2,-1,4
40,10080,1,650,M-1/M-2 (50 PC),7,6,5,C-5,3,2,4,4
41,317398,1,675,M-1/M-2 (75 PC),8,8,3,C-3,7,7,1,1
42,3131,1,102,Water,0,0,3,C-3,7,7,-7,-7
43,33187,1,415,M-1 (15 PC),3,3,60,M-1/M-2,7,6,-4,-3
44,358487,1,7,C-7,4,3,3,C-3,7,7,-3,-4
45,92038,1,415,M-1 (15 PC),3,3,7,C-7,4,3,-1,0
46,305037,1,101,NF,0,0,33,O-1a/O-1b,8,2,-8,-2
47,59401,1,625,M-1/M-2 (25 PC),5,3,60,M-1/M-2,7,6,-2,-3
48,63327,1,11,D-1,3,3,101,NF,0,0,3,3
49,15042,1,2,C-2,10,10,60,M-1/M-2,7,6,3,4
50,68175,1,31,O-1a,8,2,60,M-1/M-2,7,6,1,-4
51,44614,1,13,D-1/D-2,3,1,3,C-3,7,7,-4,-6
52,19321,1,13,D-1/D-2,3,1,60,M-1/M-2,7,6,-4,-5
53,14601,1,101,NF,0,0,5,C-5,3,2,-3,-2
54,213253,1,415,M-1 (15 PC),3,3,101,NF,0,0,3,3
55,68229,1,675,M-1/M-2 (75 PC),8,8,101,NF,0,0,8,8
56,41940,1,7,C-7,4,3,101,NF,0,0,4,3
57,35231,1,31,O-1a,8,2,5,C-5,3,2,5,0
58,273336,1,101,NF,0,0,101,NF,0,0,0,0
59,63502,1,625,M-1/M-2 (25 PC),5,3,3,C-3,7,7,-2,-4
60,142162,1,11,D-1,3,3,3,C-3,7,7,-4,-4
61,39089,1,625,M-1/M-2 (25 PC),5,3,101,NF,0,0,5,3
62,76524,1,415,M-1 (15 PC),3,3,5,C-5,3,2,0,1
63,3138,1,650,M-1/M-2 (50 PC),7,6,3,C-3,7,7,0,-1
64,41279,1,3,C-3,7,7,102,Water,0,0,7,7
65,36372,1,3,C-3,7,7,100,NA,0,0,7,7
66,38021,1,11,D-1,3,3,7,C-7,4,3,-1,0
67,11781,1,102,Water,0,0,60,M-1/M-2,7,6,-7,-6
68,73291,1,31,O-1a,8,2,100,NA,0,0,8,2
69,27056,1,13,D-1/D-2,3,1,100,NA,0,0,3,1
70,1622506,1,101,NF,0,0,100,NA,0,0,0,0
71,19896,1,4,C-4,10,10,3,C-3,7,7,3,3
72,102024,1,675,M-1/M-2 (75 PC),8,8,5,C-5,3,2,5,6
73,128373,1,13,D-1/D-2,3,1,7,C-7,4,3,-1,-2
74,19367,1,7,C-7,4,3,102,Water,0,0,4,3
75,13660,1,13,D-1/D-2,3,1,102,Water,0,0,3,1
76,5169,1,102,Water,0,0,5,C-5,3,2,-3,-2
77,45708,1,11,D-1,3,3,100,NA,0,0,3,3
78,235452,1,5,C-5,3,2,100,NA,0,0,3,2
79,61440,1,2,C-2,10,10,5,C-5,3,2,7,8
80,20168,1,11,D-1,3,3,102,Water,0,0,3,3
81,28223,1,101,NF,0,0,102,Water,0,0,0,0
82,5828,1,650,M-1/M-2 (50 PC),7,6,100,NA,0,0,7,6
83,75498,1,101,NF,0,0,60,M-1/M-2,7,6,-7,-6
84,12489,1,625,M-1/M-2 (25 PC),5,3,100,NA,0,0,5,3
85,3731,1,675,M-1/M-2 (75 PC),8,8,102,Water,0,0,8,8
86,194332,1,4,C-4,10,10,7,C-7,4,3,6,7
87,595092,1,4,C-4,10,10,33,O-1a/O-1b,8,2,2,8
88,39077,1,7,C-7,4,3,100,NA,0,0,4,3
89,32709,1,415,M-1 (15 PC),3,3,100,NA,0,0,3,3
90,132435,1,102,Water,0,0,100,NA,0,0,0,0
91,44883,1,31,O-1a,8,2,7,C-7,4,3,4,-1
92,10040,1,102,Water,0,0,101,NF,0,0,0,0
93,5357,1,102,Water,0,0,33,O-1a/O-1b,8,2,-8,-2
94,16101,1,101,NF,0,0,7,C-7,4,3,-4,-3
95,52415,1,5,C-5,3,2,101,NF,0,0,3,2
96,1858,1,4,C-4,10,10,102,Water,0,0,10,10
97,17687,1,4,C-4,10,10,5,C-5,3,2,7,8
98,41770,1,625,M-1/M-2 (25 PC),5,3,7,C-7,4,3,1,0
99,2737,1,650,M-1/M-2 (50 PC),7,6,102,Water,0,0,7,6
100,7867,1,2,C-2,10,10,33,O-1a/O-1b,8,2,2,8
101,7105,1,4,C-4,10,10,60,M-1/M-2,7,6,3,4
102,353641,1,4,C-4,10,10,101,NF,0,0,10,10
103,1619,1,650,M-1/M-2 (50 PC),7,6,7,C-7,4,3,3,3
104,4066,1,625,M-1/M-2 (25 PC),5,3,102,Water,0,0,5,3
105,2675,1,675,M-1/M-2 (75 PC),8,8,100,NA,0,0,8,8
106,763,1,2,C-2,10,10,100,NA,0,0,10,10
107,4592,1,415,M-1 (15 PC),3,3,102,Water,0,0,3,3
108,479,1,650,M-1/M-2 (50 PC),7,6,101,NF,0,0,7,6
109,44224,1,5,C-5,3,2,105,VNF,0,0,3,2
110,551057,1,31,O-1a,8,2,105,VNF,0,0,8,2
111,26331,1,11,D-1,3,3,105,VNF,0,0,3,3
112,3993,1,3,C-3,7,7,105,VNF,0,0,7,7
113,16562,1,7,C-7,4,3,105,VNF,0,0,4,3
114,106520,1,101,NF,0,0,105,VNF,0,0,0,0
115,4704,1,13,D-1/D-2,3,1,105,VNF,0,0,3,1
116,1180,1,102,Water,0,0,7,C-7,4,3,-4,-3
117,18896,1,105,VNF,0,0,3,C-3,7,7,-7,-7
118,2469,1,105,VNF,0,0,5,C-5,3,2,-3,-2
119,59739,1,105,VNF,0,0,33,O-1a/O-1b,8,2,-8,-2
120,263,1,105,VNF,0,0,60,M-1/M-2,7,6,-7,-6
121,126310,1,105,VNF,0,0,7,C-7,4,3,-4,-3
