Value,Count,MapZone,FBP_30m_90,CA_FuelClass,CA_SprHaz,CA_SumHaz,z41x_cfdrs,LF_FuelClass,LF_SprHaz,LF_SumHaz,Spr_diff,Sum_Diff
1,4907019,41,650,M-1/M-2 (50 PC),7,6,60,M-1/M-2,7,6,0,0
2,592297,41,31,O-1a,8,2,60,M-1/M-2,7,6,1,-4
3,1085908,41,625,M-1/M-2 (25 PC),5,3,60,M-1/M-2,7,6,-2,-3
4,715156,41,31,O-1a,8,2,102,Water,0,0,8,2
5,16142847,41,102,Water,0,0,102,Water,0,0,0,0
6,584653,41,675,M-1/M-2 (75 PC),8,8,60,M-1/M-2,7,6,1,2
7,96852,41,650,M-1/M-2 (50 PC),7,6,102,Water,0,0,7,6
8,3703780,41,11,D-1,3,3,60,M-1/M-2,7,6,-4,-3
9,1455566,41,3,C-3,7,7,60,M-1/M-2,7,6,0,1
10,2082012,41,2,C-2,10,10,60,M-1/M-2,7,6,3,4
11,520914,41,2,C-2,10,10,33,O-1a/O-1b,8,2,2,8
12,154622,41,3,C-3,7,7,102,Water,0,0,7,7
13,3048850,41,3,C-3,7,7,13,D-1/D-2,3,1,4,6
14,1713708,41,4,C-4,10,10,13,D-1/D-2,3,1,7,9
15,202102,41,675,M-1/M-2 (75 PC),8,8,33,O-1a/O-1b,8,2,0,6
16,1291023,41,4,C-4,10,10,33,O-1a/O-1b,8,2,2,8
17,182948,41,3,C-3,7,7,101,NF,0,0,7,7
18,103969,41,4,C-4,10,10,101,NF,0,0,10,10
19,1270787,41,4,C-4,10,10,60,M-1/M-2,7,6,3,4
20,469785,41,4,C-4,10,10,2,C-2,10,10,0,0
21,1482337,41,3,C-3,7,7,2,C-2,10,10,-3,-3
22,6523236,41,650,M-1/M-2 (50 PC),7,6,13,D-1/D-2,3,1,4,5
23,2803535,41,11,D-1,3,3,13,D-1/D-2,3,1,0,2
24,805222,41,650,M-1/M-2 (50 PC),7,6,33,O-1a/O-1b,8,2,-1,4
25,412260,41,3,C-3,7,7,33,O-1a/O-1b,8,2,-1,5
26,4890293,41,2,C-2,10,10,13,D-1/D-2,3,1,7,9
27,382277,41,13,D-1/D-2,3,1,60,M-1/M-2,7,6,-4,-5
28,215353,41,31,O-1a,8,2,13,D-1/D-2,3,1,5,1
29,37928,41,5,C-5,3,2,60,M-1/M-2,7,6,-4,-4
30,29996,41,11,D-1,3,3,102,Water,0,0,3,3
31,712779,41,625,M-1/M-2 (25 PC),5,3,13,D-1/D-2,3,1,2,2
32,70736,41,11,D-1,3,3,2,C-2,10,10,-7,-7
33,9857,41,2,C-2,10,10,101,NF,0,0,10,10
34,1123227,41,675,M-1/M-2 (75 PC),8,8,13,D-1/D-2,3,1,5,7
35,49376,41,675,M-1/M-2 (75 PC),8,8,102,Water,0,0,8,8
36,18739,41,625,M-1/M-2 (25 PC),5,3,102,Water,0,0,5,3
37,10086,41,625,M-1/M-2 (25 PC),5,3,101,NF,0,0,5,3
38,361872,41,650,M-1/M-2 (50 PC),7,6,2,C-2,10,10,-3,-4
39,164106,41,2,C-2,10,10,102,Water,0,0,10,10
40,1203625,41,2,C-2,10,10,2,C-2,10,10,0,0
41,7702,41,101,NF,0,0,102,Water,0,0,0,0
42,220398,41,31,O-1a,8,2,33,O-1a/O-1b,8,2,0,0
43,265317,41,625,M-1/M-2 (25 PC),5,3,33,O-1a/O-1b,8,2,-3,1
44,64940,41,4,C-4,10,10,102,Water,0,0,10,10
45,64192,41,102,Water,0,0,60,M-1/M-2,7,6,-7,-6
46,12880,41,675,M-1/M-2 (75 PC),8,8,101,NF,0,0,8,8
47,112119,41,101,NF,0,0,60,M-1/M-2,7,6,-7,-6
48,212540,41,31,O-1a,8,2,2,C-2,10,10,-2,-8
49,44342,41,625,M-1/M-2 (25 PC),5,3,2,C-2,10,10,-5,-7
50,819981,41,11,D-1,3,3,33,O-1a/O-1b,8,2,-5,1
51,6795,41,11,D-1,3,3,101,NF,0,0,3,3
52,27713,41,31,O-1a,8,2,101,NF,0,0,8,2
53,20395,41,650,M-1/M-2 (50 PC),7,6,101,NF,0,0,7,6
54,53994,41,13,D-1/D-2,3,1,102,Water,0,0,3,1
55,713535,41,13,D-1/D-2,3,1,13,D-1/D-2,3,1,0,0
56,84423,41,102,Water,0,0,2,C-2,10,10,-10,-10
57,247190,41,13,D-1/D-2,3,1,2,C-2,10,10,-7,-9
58,86208,41,102,Water,0,0,13,D-1/D-2,3,1,-3,-1
59,150400,41,675,M-1/M-2 (75 PC),8,8,2,C-2,10,10,-2,-2
60,1232,41,102,Water,0,0,101,NF,0,0,0,0
61,303007,41,13,D-1/D-2,3,1,33,O-1a/O-1b,8,2,-5,-1
62,3492,41,5,C-5,3,2,102,Water,0,0,3,2
63,14970,41,102,Water,0,0,33,O-1a/O-1b,8,2,-8,-2
64,18514,41,101,NF,0,0,101,NF,0,0,0,0
65,86966,41,101,NF,0,0,33,O-1a/O-1b,8,2,-8,-2
66,29032,41,101,NF,0,0,2,C-2,10,10,-10,-10
67,61471,41,3,C-3,7,7,100,NA,0,0,7,7
68,283828,41,101,NF,0,0,100,NA,0,0,0,0
69,150293,41,650,M-1/M-2 (50 PC),7,6,100,NA,0,0,7,6
70,91142,41,2,C-2,10,10,100,NA,0,0,10,10
71,32120,41,625,M-1/M-2 (25 PC),5,3,100,NA,0,0,5,3
72,109945,41,11,D-1,3,3,100,NA,0,0,3,3
73,85321,41,101,NF,0,0,13,D-1/D-2,3,1,-3,-1
74,19057,41,31,O-1a,8,2,100,NA,0,0,8,2
75,58,41,105,VNF,0,0,100,NA,0,0,0,0
76,675,41,105,VNF,0,0,33,O-1a/O-1b,8,2,-8,-2
77,484,41,105,VNF,0,0,60,M-1/M-2,7,6,-7,-6
78,36,41,105,VNF,0,0,101,NF,0,0,0,0
79,76426,41,4,C-4,10,10,100,NA,0,0,10,10
80,14047,41,13,D-1/D-2,3,1,100,NA,0,0,3,1
81,38330,41,13,D-1/D-2,3,1,101,NF,0,0,3,1
82,25571,41,675,M-1/M-2 (75 PC),8,8,100,NA,0,0,8,8
83,579,41,105,VNF,0,0,13,D-1/D-2,3,1,-3,-1
84,164,41,415,M-1 (15 PC),3,3,33,O-1a/O-1b,8,2,-5,1
85,87,41,415,M-1 (15 PC),3,3,2,C-2,10,10,-7,-7
86,119,41,415,M-1 (15 PC),3,3,60,M-1/M-2,7,6,-4,-3
87,16,41,415,M-1 (15 PC),3,3,100,NA,0,0,3,3
88,113,41,415,M-1 (15 PC),3,3,13,D-1/D-2,3,1,0,2
89,2360,41,5,C-5,3,2,2,C-2,10,10,-7,-8
90,43,41,105,VNF,0,0,102,Water,0,0,0,0
91,2172,41,102,Water,0,0,100,NA,0,0,0,0
92,16,41,415,M-1 (15 PC),3,3,101,NF,0,0,3,3
93,21142,41,5,C-5,3,2,13,D-1/D-2,3,1,0,1
94,1560,41,5,C-5,3,2,33,O-1a/O-1b,8,2,-5,0
95,212,41,415,M-1 (15 PC),3,3,102,Water,0,0,3,3
96,17909,41,4,C-4,10,10,105,VNF,0,0,10,10
97,51887,41,625,M-1/M-2 (25 PC),5,3,105,VNF,0,0,5,3
98,12367,41,3,C-3,7,7,105,VNF,0,0,7,7
99,664258,41,31,O-1a,8,2,105,VNF,0,0,8,2
100,174999,41,650,M-1/M-2 (50 PC),7,6,105,VNF,0,0,7,6
101,11671,41,675,M-1/M-2 (75 PC),8,8,105,VNF,0,0,8,8
102,30093,41,2,C-2,10,10,105,VNF,0,0,10,10
103,234489,41,11,D-1,3,3,105,VNF,0,0,3,3
104,32884,41,13,D-1/D-2,3,1,105,VNF,0,0,3,1
105,59513,41,101,NF,0,0,105,VNF,0,0,0,0
106,6,41,5,C-5,3,2,101,NF,0,0,3,2
107,651,41,102,Water,0,0,105,VNF,0,0,0,0
108,562,41,5,C-5,3,2,100,NA,0,0,3,2
109,1362,41,5,C-5,3,2,105,VNF,0,0,3,2
110,9,41,415,M-1 (15 PC),3,3,105,VNF,0,0,3,3
111,93,41,105,VNF,0,0,2,C-2,10,10,-10,-10
