Value,Count,MapZone,FBP_30m_90,CA_FuelType,CA_SprHaz,CA_SumHaz,z62x_cfdrs,LF_FuelType,LF_SprHaz,LF_SumHaz,SprDiff,SumDiff
1,29246,62,101,NF,0,0,101,NF,0,0,0,0
2,336579,62,101,NF,0,0,105,VNF,0,0,0,0
3,247990,62,11,D-1,3,3,105,VNF,0,0,3,3
4,6319198,62,31,O-1a,8,2,105,VNF,0,0,8,2
5,7450,62,625,M-1/M-2 (25 PC),5,3,105,VNF,0,0,5,3
6,246118,62,11,D-1,3,3,13,D-1/D-2,3,1,0,2
7,86351,62,31,O-1a,8,2,13,D-1/D-2,3,1,5,1
8,233530,62,11,D-1,3,3,60,M-1/M-2,7,6,-4,-3
9,511323,62,101,NF,0,0,100,NA,0,0,0,0
10,162631,62,31,O-1a,8,2,100,NA,0,0,8,2
11,7643,62,11,D-1,3,3,100,NA,0,0,3,3
12,16849,62,101,NF,0,0,13,D-1/D-2,3,1,-3,-1
13,4768,62,625,M-1/M-2 (25 PC),5,3,60,M-1/M-2,7,6,-2,-3
14,22291,62,13,D-1/D-2,3,1,105,VNF,0,0,3,1
15,725,62,625,M-1/M-2 (25 PC),5,3,100,NA,0,0,5,3
16,32970,62,31,O-1a,8,2,60,M-1/M-2,7,6,1,-4
17,1772,62,13,D-1/D-2,3,1,13,D-1/D-2,3,1,0,0
18,3563,62,11,D-1,3,3,102,Water,0,0,3,3
19,1279,62,4,C-4,10,10,105,VNF,0,0,10,10
20,1147,62,2,C-2,10,10,105,VNF,0,0,10,10
21,8137,62,650,M-1/M-2 (50 PC),7,6,60,M-1/M-2,7,6,0,0
22,12192,62,650,M-1/M-2 (50 PC),7,6,105,VNF,0,0,7,6
23,1172,62,650,M-1/M-2 (50 PC),7,6,100,NA,0,0,7,6
24,20024,62,101,NF,0,0,60,M-1/M-2,7,6,-7,-6
25,19121,62,31,O-1a,8,2,102,Water,0,0,8,2
26,125,62,625,M-1/M-2 (25 PC),5,3,102,Water,0,0,5,3
27,3622,62,101,NF,0,0,102,Water,0,0,0,0
28,1639,62,11,D-1,3,3,33,O-1a/O-1b,8,2,-5,1
29,78,62,675,M-1/M-2 (75 PC),8,8,105,VNF,0,0,8,8
30,4199,62,13,D-1/D-2,3,1,100,NA,0,0,3,1
31,2432,62,650,M-1/M-2 (50 PC),7,6,13,D-1/D-2,3,1,4,5
32,2885,62,625,M-1/M-2 (25 PC),5,3,13,D-1/D-2,3,1,2,2
33,7530,62,31,O-1a,8,2,101,NF,0,0,8,2
34,1217,62,11,D-1,3,3,101,NF,0,0,3,3
35,6,62,675,M-1/M-2 (75 PC),8,8,100,NA,0,0,8,8
36,153,62,2,C-2,10,10,13,D-1/D-2,3,1,7,9
37,9066,62,101,NF,0,0,33,O-1a/O-1b,8,2,-8,-2
38,20456,62,31,O-1a,8,2,33,O-1a/O-1b,8,2,0,0
39,2281,62,102,Water,0,0,100,NA,0,0,0,0
40,8872687,62,102,Water,0,0,102,Water,0,0,0,0
41,2946,62,13,D-1/D-2,3,1,102,Water,0,0,3,1
42,943,62,13,D-1/D-2,3,1,101,NF,0,0,3,1
43,96,62,625,M-1/M-2 (25 PC),5,3,101,NF,0,0,5,3
44,146,62,650,M-1/M-2 (50 PC),7,6,102,Water,0,0,7,6
45,1656,62,13,D-1/D-2,3,1,60,M-1/M-2,7,6,-4,-5
46,7,62,5,C-5,3,2,105,VNF,0,0,3,2
47,1047,62,13,D-1/D-2,3,1,33,O-1a/O-1b,8,2,-5,-1
48,4835,62,102,Water,0,0,33,O-1a/O-1b,8,2,-8,-2
49,1349,62,102,Water,0,0,60,M-1/M-2,7,6,-7,-6
50,66,62,625,M-1/M-2 (25 PC),5,3,33,O-1a/O-1b,8,2,-3,1
51,111,62,4,C-4,10,10,13,D-1/D-2,3,1,7,9
52,22,62,4,C-4,10,10,33,O-1a/O-1b,8,2,2,8
53,10642,62,102,Water,0,0,105,VNF,0,0,0,0
54,614,62,102,Water,0,0,101,NF,0,0,0,0
55,379,62,4,C-4,10,10,60,M-1/M-2,7,6,3,4
56,440,62,2,C-2,10,10,60,M-1/M-2,7,6,3,4
57,1335,62,102,Water,0,0,13,D-1/D-2,3,1,-3,-1
58,966,62,102,Water,0,0,6,C-6,5,5,-5,-5
59,439,62,11,D-1,3,3,6,C-6,5,5,-2,-2
60,35,62,4,C-4,10,10,102,Water,0,0,10,10
61,3,62,5,C-5,3,2,13,D-1/D-2,3,1,0,1
62,61,62,2,C-2,10,10,102,Water,0,0,10,10
63,129,62,4,C-4,10,10,100,NA,0,0,10,10
64,225,62,2,C-2,10,10,6,C-6,5,5,5,5
65,832,62,650,M-1/M-2 (50 PC),7,6,6,C-6,5,5,2,1
66,4258,62,13,D-1/D-2,3,1,6,C-6,5,5,-2,-4
67,150,62,4,C-4,10,10,6,C-6,5,5,5,5
68,2406,62,31,O-1a,8,2,6,C-6,5,5,3,-3
69,61,62,3,C-3,7,7,105,VNF,0,0,7,7
70,96,62,625,M-1/M-2 (25 PC),5,3,6,C-6,5,5,0,-2
71,168,62,650,M-1/M-2 (50 PC),7,6,101,NF,0,0,7,6
72,7,62,5,C-5,3,2,60,M-1/M-2,7,6,-4,-4
73,12,62,675,M-1/M-2 (75 PC),8,8,13,D-1/D-2,3,1,5,7
74,23,62,4,C-4,10,10,101,NF,0,0,10,10
75,21,62,675,M-1/M-2 (75 PC),8,8,60,M-1/M-2,7,6,1,2
76,2208,62,101,NF,0,0,6,C-6,5,5,-5,-5
77,29,62,2,C-2,10,10,33,O-1a/O-1b,8,2,2,8
78,121,62,650,M-1/M-2 (50 PC),7,6,33,O-1a/O-1b,8,2,-1,4
79,142,62,2,C-2,10,10,100,NA,0,0,10,10
80,10,62,3,C-3,7,7,102,Water,0,0,7,7
81,38,62,2,C-2,10,10,101,NF,0,0,10,10
82,3,62,5,C-5,3,2,6,C-6,5,5,-2,-3
83,7,62,3,C-3,7,7,13,D-1/D-2,3,1,4,6
84,6,62,675,M-1/M-2 (75 PC),8,8,102,Water,0,0,8,8
85,16,62,3,C-3,7,7,100,NA,0,0,7,7
86,11,62,3,C-3,7,7,60,M-1/M-2,7,6,0,1
87,4,62,675,M-1/M-2 (75 PC),8,8,6,C-6,5,5,3,3
88,7,62,675,M-1/M-2 (75 PC),8,8,101,NF,0,0,8,8
89,1,62,675,M-1/M-2 (75 PC),8,8,33,O-1a/O-1b,8,2,0,6
90,1,62,3,C-3,7,7,6,C-6,5,5,2,2
